Location,Activity
Kandy,"Enroute visit a herbal and spice garden, Temple of the Tooth Relic (Sri Dalada Maligawa), Kandy Lake, Kandy Viewpoint, Royal Botanical Gardens Peradeniya, Witness a breathtaking Cultural Show, Witness the annual Kandy temple peagent, Meera Makam Mosque (Masjid), Batik Factory, Gem & Jewelry Museum, Souvenirs & gift shop, Boat ride in Kandy lake, Stroll around Kandy city and enjoy the cool climes, Birds Park in Hanthana, Sembuwatta man made lake and enjoy a fun-filled boat ride, Day excursion to Nuwara Eliya, Day excursion to Sigiriya, Udawatta Kele Sanctuary, Ceylon Tea Museum, Bahirawakanda Vihara Buddha Statue, Wales Park, Degaldoruwa Temple, Ranweli Spice Garden, Lankatilaka Temple, Gadaladeniya Temple, Embekke Devalaya, Kandy National Museum, Engage in a round golf at 18-hole Victoria Golf Course"
Mannar,"Mannar Island, Adam's Bridge (Rama's Bridge), Munneswaram temple, Thanthirimale Ancient Temple, Mannar Fort, Baobab Tree, Day Excursion to Negombo, Day Excursion to Chilaw, Day Excursion to Jaffna"
Mirissa,"Mirissa Beach, Whale & Dolphin Watching , Parrot Rock, Coconut Tree Hill, Secret Beach, Surfing, Day Excursion to Galle, Day Excursion to Yala National Park, Day Excursion to Ella, Day Excursion to Hambantota, Day Excursion to Bentota and engage in various water sports, Day Excursion to Balapitiya to enagage in Madhu River cruise and visit turtle hatchery. En route visit Hikkaduwa and Ambalangoda Mask factory"
Negombo,"Negombo Beach, Dutch Fort, Main Fish Market, Hamilton Canal, St. Mary's Church, Angurukaramulla Temple, Negombo Lagoon, Birdwatching Boat Ride in Muthurajawela Marsh , Day Excursion to Colombo, Day Excursion to Galle, Day Excursion to Chilaw, Day Excursion to Pinnawala, Day Excursion to Kandy, Day Excursion to Bentota"
Nuwara Eliya,"En route enjoy breathtaking views of tea valleys waterfalls vegetable patches and stunning views of the mountains, Hanuman Temple, Visit a tea plantation and factory en route to get a first-hand experience to understand the journey of the tea leaf, Visit Ramboda waterfall to get a closer view, Gregory Lake, Hakgala Botanical Garden, Strawberry Farm visit, Engaged in fun-filled tractor ride to visit strawberry farm in Ambewala, Nuwara Eliya city tour, Seetha Amman Temple, Victoria Park, Ambewela Farm , Moon Plains, Single Tree Hill, Eagles View Point, Day excursion to Nuwara Eliya, St. Clairs Waterfall, Devon Falls, Bakers Fall, Trekking, Cycling, Galway's Land National Park, Lovers Leap Waterfall, Pedro Tea Estate, Train ride to Ella, Day excursion to Ella, Day excursion to Hatton, Pidurutalagala Mountain / Mount Pedro (highest mountain in Sri Lanka), Horton Plains National Park & World's End, Horse Riding, Fun-filled swan boat ride, Engage in a round of Golf at NEGC"
Pasikuda,"Pasikuda Beach, Kalkudah Beach, Kayaking & Water Sports, Diving & Snorkeling, Coconut Cultural Park"
Polonnaruwa,"Gal Vihara (Buddha Statues), Parakrama Samudra, Polonnaruwa Vatadage, Rankoth Vehera, Lankatilaka Temple, Nissanka Latha Mandapaya, Shiva Devale, Audience Hall of King Parakramabahu, Pothgul Vihara, Day Excursion to Trincomalee, Day Excursion to Sigiriya , Day Excursion to Passikuda, Day Excursion to Anuradhapura, Cycling around the lake"
Sigiriya,"En-route visit Pinnawala Elephant Orphanage, Millennium Elephant Foundation, Sigiriya Lion Rock Fortress, Sigiriya Museum, Dambulla Cave Temple (Golden Temple of Dambulla), Engage in exhilarating Hiriwadunna Village Tour. Enjoy authentic Sri Lankan rice and curry served in banana leaf., Minneriya National Park (Elephant Safari), Kaudulla National Park, Hurulu Eco Park, Engage in elephant back ride, Witness a breathtaking Cultural Show, Day excursion to Anuradhapura, Day excursion to Polonnaruwa, Day excursion to Trincomalee, Pidurangala Rock visit to witness Sunset or Sunrise, Cobra Hood Cave, Mirror Wall, Water Gardens, Ritigala Forest Monastery, Ibbankatuwa Megalithic Tombs, Pophams Arboretum"
Tangalle,"Tangalle Beach, Hummanaya Blowhole, Mulkirigala Rock Monastery, Rekawa Turtle Watch, Kalametiya Bird Sanctuary, Hiriketiya Beach, Day Excursion to Galle, Day Excursion to Yala National Park, Day Excursion to Ella, Day Excursion to Hambantota"
Trincomalee,"Koneswaram Temple, Fort Frederick, Marble Beach, Nilaveli Beach, Pigeon Island National Park, Diving & Snorkeling, Uppuveli Beach, Kanniya Hot Water Springs, Trincomalee War Cemetery, Day Excursion to Passikuda, Day Excursion to Anuradhapura, Day Excursion to Polannaruwa, Seruwila Mangala Raja Maha Vihara"
Udawalawe,"Safari in Udawalawe National Park to spot elephants birds etc, Udawalawe Elephant Transit Home, Day Excursion to Galle, Day Excursion to Yala National Park, Day Excursion to Ella, Udawalawe Reservoir, Sankhapala Raja Maha Viharaya"
Weligama,"Weligama Beach, Taprobane Island, Kushtarajagala Statue, Snake Farm, Weligama Bay Dive Center, Engage in Surfing, Ice Bath & Sauna, Day Excursion to Galle, Day Excursion to Mirissa and witness whales and dolphins, Day Excursion to Yala National Park, Day Excursion to Ella, Day Excursion to Hambantota, Day Excursion to Bentota and engage in various water sports, Day Excursion to Balapitiya to enagage in Madhu River cruise and visit turtle hatchery. En route visit Hikkaduwa and Ambalangoda Mask factory"
Wilpattu,"Wilpattu National Park to spot elusive leopards wild animals and birds, Day Excursion to Negombo, Day Excursion to Mannar, Day Excursion to Anuradhapura, Pomparippu Archaeological Site, Kudiramalai Point"
Yala,"Yala National Park, Sithulpawwa Rock Temple, Kebiliththa Pilgrimage Site, Magul Maha Viharaya, Kirinda Beach, Patanangala Beach, Kataragama Temple "
