Location,Activity,Budget Level,Interest Categories,Travelling with whom
Anuradhapura,Isurumuniya Temple,low,"culture & heritage, photography & arts",friends
Anuradhapura,Isurumuniya Temple,low,"culture & heritage, photography & arts",friends
Anuradhapura,Isurumuniya Temple,medium,"spiritual & religious, photography & arts",solo
Anuradhapura,Isurumuniya Temple,low,"spiritual & religious, photography & arts",partner
Anuradhapura,Samadhi Buddha Statue,low,"spiritual & religious, photography & arts",solo
Anuradhapura,Samadhi Buddha Statue,high,"spiritual & religious, photography & arts",partner
Anuradhapura,Samadhi Buddha Statue,medium,"spiritual & religious, photography & arts",family
Anuradhapura,Samadhi Buddha Statue,low,"photography & arts, spiritual & religious",partner
Anuradhapura,Samadhi Buddha Statue,medium,"spiritual & religious, photography & arts",partner
Anuradhapura,Samadhi Buddha Statue,low,"photography & arts, spiritual & religious",friends
Anuradhapura,Samadhi Buddha Statue,low,"spiritual & religious, photography & arts",friends
Anuradhapura,Samadhi Buddha Statue,medium,"photography & arts, spiritual & religious",partner
Anuradhapura,Samadhi Buddha Statue,high,"photography & arts, spiritual & religious",partner
Anuradhapura,Samadhi Buddha Statue,high,"photography & arts, spiritual & religious",family
Anuradhapura,Samadhi Buddha Statue,low,"photography & arts, spiritual & religious",solo
Anuradhapura,Samadhi Buddha Statue,high,"photography & arts, spiritual & religious",partner
Anuradhapura,Samadhi Buddha Statue,high,"photography & arts, spiritual & religious",partner
Anuradhapura,Samadhi Buddha Statue,high,"spiritual & religious, photography & arts",partner
Anuradhapura,Samadhi Buddha Statue,high,"photography & arts, spiritual & religious",friends
Anuradhapura,Kuttam Pokuna (Twin Ponds),high,"culture & heritage, photography & arts",partner
Anuradhapura,Kuttam Pokuna (Twin Ponds),medium,"photography & arts, culture & heritage",friends
Anuradhapura,Kuttam Pokuna (Twin Ponds),medium,"photography & arts, culture & heritage",family
Anuradhapura,Kuttam Pokuna (Twin Ponds),medium,"education & learning, culture & heritage",partner
Anuradhapura,Kuttam Pokuna (Twin Ponds),high,"photography & arts, education & learning",partner
Anuradhapura,Kuttam Pokuna (Twin Ponds),high,"education & learning, photography & arts",friends
Anuradhapura,Kuttam Pokuna (Twin Ponds),low,"education & learning, photography & arts",friends
Anuradhapura,Kuttam Pokuna (Twin Ponds),medium,"education & learning, culture & heritage",solo
Anuradhapura,Kuttam Pokuna (Twin Ponds),medium,"education & learning, culture & heritage",partner
Anuradhapura,Kuttam Pokuna (Twin Ponds),high,"photography & arts, culture & heritage",solo
Anuradhapura,Kuttam Pokuna (Twin Ponds),high,"photography & arts, culture & heritage",friends
Anuradhapura,Kuttam Pokuna (Twin Ponds),high,"education & learning, photography & arts",partner
Anuradhapura,Kuttam Pokuna (Twin Ponds),medium,"culture & heritage, photography & arts",friends
Anuradhapura,Kuttam Pokuna (Twin Ponds),low,"culture & heritage, photography & arts",partner
Anuradhapura,Kuttam Pokuna (Twin Ponds),high,"photography & arts, education & learning",partner
Anuradhapura,Lovamahapaya (Brazen Palace),medium,"culture & heritage, education & learning",friends
Anuradhapura,Lovamahapaya (Brazen Palace),low,"education & learning, culture & heritage",family
Anuradhapura,Lovamahapaya (Brazen Palace),low,"culture & heritage, education & learning",friends
Anuradhapura,Lovamahapaya (Brazen Palace),high,"education & learning, culture & heritage",friends
Anuradhapura,Lovamahapaya (Brazen Palace),high,"culture & heritage, education & learning",friends
Anuradhapura,Lovamahapaya (Brazen Palace),medium,"culture & heritage, education & learning",friends
Anuradhapura,Lovamahapaya (Brazen Palace),low,"culture & heritage, education & learning",partner
Anuradhapura,Lovamahapaya (Brazen Palace),medium,"culture & heritage, education & learning",friends
Anuradhapura,Lovamahapaya (Brazen Palace),low,"education & learning, culture & heritage",partner
Anuradhapura,Lovamahapaya (Brazen Palace),low,"culture & heritage, education & learning",family
Anuradhapura,Lovamahapaya (Brazen Palace),low,"culture & heritage, education & learning",friends
Anuradhapura,Lovamahapaya (Brazen Palace),medium,"culture & heritage, education & learning",family
Anuradhapura,Lovamahapaya (Brazen Palace),medium,"culture & heritage, education & learning",partner
Anuradhapura,Lovamahapaya (Brazen Palace),low,"culture & heritage, education & learning",partner
Anuradhapura,Lovamahapaya (Brazen Palace),high,"education & learning, culture & heritage",partner
Anuradhapura,Day Excursion to Polannaruwa,low,"culture & heritage, photography & arts",partner
Anuradhapura,Day Excursion to Polannaruwa,high,"culture & heritage, education & learning",friends
Anuradhapura,Day Excursion to Polannaruwa,high,"photography & arts, culture & heritage",friends
Anuradhapura,Day Excursion to Polannaruwa,medium,"education & learning, photography & arts",partner
Anuradhapura,Day Excursion to Polannaruwa,high,"photography & arts, culture & heritage",family
Anuradhapura,Day Excursion to Polannaruwa,high,"education & learning, culture & heritage",solo
Anuradhapura,Day Excursion to Polannaruwa,medium,"photography & arts, culture & heritage",family
Anuradhapura,Day Excursion to Polannaruwa,low,"photography & arts, culture & heritage",partner
Anuradhapura,Day Excursion to Polannaruwa,low,"photography & arts, education & learning",solo
Anuradhapura,Day Excursion to Polannaruwa,low,"education & learning, photography & arts",friends
Anuradhapura,Day Excursion to Polannaruwa,low,"photography & arts, culture & heritage",partner
Anuradhapura,Day Excursion to Polannaruwa,high,"education & learning, photography & arts",partner
Anuradhapura,Day Excursion to Polannaruwa,low,"photography & arts, education & learning",family
Anuradhapura,Day Excursion to Polannaruwa,low,"education & learning, photography & arts",solo
Anuradhapura,Day Excursion to Polannaruwa,high,"education & learning, photography & arts",family
Anuradhapura,Day Excursion to Trincomalee,medium,"photography & arts, nature & wildlife",friends
Anuradhapura,Day Excursion to Trincomalee,high,"photography & arts, beach & water activities",solo
Anuradhapura,Day Excursion to Trincomalee,medium,"beach & water activities, nature & wildlife",solo
Anuradhapura,Day Excursion to Trincomalee,high,"nature & wildlife, beach & water activities",family
Anuradhapura,Day Excursion to Trincomalee,medium,"beach & water activities, nature & wildlife",solo
Anuradhapura,Day Excursion to Trincomalee,low,"photography & arts, beach & water activities",partner
Anuradhapura,Day Excursion to Trincomalee,medium,"nature & wildlife, beach & water activities",family
Anuradhapura,Day Excursion to Trincomalee,high,"photography & arts, nature & wildlife",friends
Anuradhapura,Day Excursion to Trincomalee,medium,"photography & arts, beach & water activities",friends
Anuradhapura,Day Excursion to Trincomalee,medium,"beach & water activities, photography & arts",friends
Anuradhapura,Day Excursion to Trincomalee,high,"photography & arts, nature & wildlife",solo
Anuradhapura,Day Excursion to Trincomalee,medium,"beach & water activities, photography & arts",friends
Anuradhapura,Day Excursion to Trincomalee,high,"photography & arts, beach & water activities",partner
Anuradhapura,Day Excursion to Trincomalee,medium,"photography & arts, nature & wildlife",family
Anuradhapura,Day Excursion to Trincomalee,medium,"photography & arts, beach & water activities",friends
Anuradhapura,Day Excursion to Sigiriya,medium,"photography & arts, nature & wildlife",solo
Anuradhapura,Day Excursion to Sigiriya,low,"photography & arts, adventure & sports",friends
Anuradhapura,Day Excursion to Sigiriya,low,"adventure & sports, photography & arts",solo
Anuradhapura,Day Excursion to Sigiriya,low,"photography & arts, nature & wildlife",friends
Anuradhapura,Day Excursion to Sigiriya,high,"adventure & sports, photography & arts",solo
Anuradhapura,Day Excursion to Sigiriya,high,"adventure & sports, photography & arts",solo
Anuradhapura,Day Excursion to Sigiriya,low,"photography & arts, adventure & sports",partner
Anuradhapura,Day Excursion to Sigiriya,high,"photography & arts, nature & wildlife",family
Anuradhapura,Day Excursion to Sigiriya,high,"nature & wildlife, adventure & sports",family
Anuradhapura,Day Excursion to Sigiriya,low,"adventure & sports, photography & arts",partner
Anuradhapura,Day Excursion to Sigiriya,low,"adventure & sports, nature & wildlife",solo
Anuradhapura,Day Excursion to Sigiriya,medium,"adventure & sports, nature & wildlife",partner
Anuradhapura,Day Excursion to Sigiriya,high,"photography & arts, nature & wildlife",partner
Anuradhapura,Day Excursion to Sigiriya,low,"nature & wildlife, adventure & sports",family
Anuradhapura,Day Excursion to Sigiriya,low,"nature & wildlife, photography & arts",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"photography & arts, adventure & sports",partner
Arugam Bay,Arugam Bay Beach (Surfing Paradise),low,"photography & arts, beach & water activities",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"photography & arts, beach & water activities",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"beach & water activities, adventure & sports",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),low,"adventure & sports, photography & arts",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"adventure & sports, photography & arts",partner
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"photography & arts, beach & water activities",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),medium,"adventure & sports, photography & arts",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),medium,"photography & arts, adventure & sports",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),medium,"adventure & sports, photography & arts",partner
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"adventure & sports, photography & arts",friends
Arugam Bay,Arugam Bay Beach (Surfing Paradise),low,"adventure & sports, photography & arts",friends
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"photography & arts, adventure & sports",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"photography & arts, beach & water activities",family
Arugam Bay,Arugam Bay Beach (Surfing Paradise),high,"photography & arts, beach & water activities",partner
Arugam Bay,Peanut Farm Beach,high,"beach & water activities, nature & wildlife",friends
Arugam Bay,Peanut Farm Beach,high,"nature & wildlife, beach & water activities",friends
Arugam Bay,Peanut Farm Beach,low,"wellness & relaxation, beach & water activities",friends
Arugam Bay,Peanut Farm Beach,medium,"wellness & relaxation, beach & water activities",partner
Arugam Bay,Peanut Farm Beach,medium,"wellness & relaxation, nature & wildlife",family
Arugam Bay,Peanut Farm Beach,low,"wellness & relaxation, nature & wildlife",partner
Arugam Bay,Peanut Farm Beach,medium,"beach & water activities, nature & wildlife",friends
Arugam Bay,Peanut Farm Beach,high,"nature & wildlife, beach & water activities",friends
Arugam Bay,Peanut Farm Beach,low,"beach & water activities, nature & wildlife",partner
Arugam Bay,Peanut Farm Beach,high,"beach & water activities, wellness & relaxation",family
Arugam Bay,Peanut Farm Beach,high,"nature & wildlife, wellness & relaxation",partner
Arugam Bay,Peanut Farm Beach,low,"wellness & relaxation, beach & water activities",solo
Arugam Bay,Peanut Farm Beach,low,"nature & wildlife, wellness & relaxation",solo
Arugam Bay,Peanut Farm Beach,medium,"nature & wildlife, wellness & relaxation",solo
Arugam Bay,Peanut Farm Beach,medium,"nature & wildlife, wellness & relaxation",solo
Arugam Bay,Elephant Rock,low,"adventure & sports, nature & wildlife",friends
Arugam Bay,Elephant Rock,high,"photography & arts, adventure & sports",partner
Arugam Bay,Elephant Rock,low,"nature & wildlife, photography & arts",solo
Arugam Bay,Elephant Rock,medium,"photography & arts, nature & wildlife",partner
Arugam Bay,Elephant Rock,high,"nature & wildlife, photography & arts",family
Arugam Bay,Elephant Rock,medium,"nature & wildlife, photography & arts",family
Arugam Bay,Elephant Rock,high,"photography & arts, nature & wildlife",family
Arugam Bay,Elephant Rock,high,"photography & arts, nature & wildlife",partner
Arugam Bay,Elephant Rock,medium,"adventure & sports, nature & wildlife",solo
Arugam Bay,Elephant Rock,low,"photography & arts, nature & wildlife",solo
Arugam Bay,Elephant Rock,medium,"photography & arts, nature & wildlife",partner
Arugam Bay,Elephant Rock,high,"nature & wildlife, photography & arts",solo
Arugam Bay,Elephant Rock,low,"photography & arts, nature & wildlife",family
Arugam Bay,Elephant Rock,low,"adventure & sports, nature & wildlife",family
Arugam Bay,Elephant Rock,low,"adventure & sports, nature & wildlife",family
Arugam Bay,Muhudu Maha Viharaya,low,"photography & arts, culture & heritage",family
Arugam Bay,Muhudu Maha Viharaya,medium,"photography & arts, spiritual & religious",partner
Arugam Bay,Muhudu Maha Viharaya,low,"photography & arts, spiritual & religious",friends
Arugam Bay,Muhudu Maha Viharaya,high,"culture & heritage, spiritual & religious",friends
Arugam Bay,Muhudu Maha Viharaya,high,"spiritual & religious, photography & arts",family
Arugam Bay,Muhudu Maha Viharaya,low,"culture & heritage, photography & arts",solo
Arugam Bay,Muhudu Maha Viharaya,high,"spiritual & religious, photography & arts",partner
Arugam Bay,Muhudu Maha Viharaya,low,"photography & arts, culture & heritage",partner
Arugam Bay,Muhudu Maha Viharaya,medium,"spiritual & religious, culture & heritage",family
Arugam Bay,Muhudu Maha Viharaya,high,"culture & heritage, photography & arts",family
Arugam Bay,Muhudu Maha Viharaya,low,"photography & arts, spiritual & religious",solo
Arugam Bay,Muhudu Maha Viharaya,medium,"photography & arts, spiritual & religious",family
Arugam Bay,Muhudu Maha Viharaya,medium,"culture & heritage, spiritual & religious",solo
Arugam Bay,Muhudu Maha Viharaya,medium,"culture & heritage, photography & arts",friends
Arugam Bay,Muhudu Maha Viharaya,low,"culture & heritage, photography & arts",partner
Arugam Bay,Kumana National Park,low,"adventure & sports, nature & wildlife",friends
Arugam Bay,Kumana National Park,high,"photography & arts, adventure & sports",family
Arugam Bay,Kumana National Park,medium,"photography & arts, nature & wildlife",partner
Arugam Bay,Kumana National Park,medium,"nature & wildlife, adventure & sports",partner
Arugam Bay,Kumana National Park,high,"photography & arts, adventure & sports",friends
Arugam Bay,Kumana National Park,medium,"photography & arts, nature & wildlife",solo
Arugam Bay,Kumana National Park,medium,"nature & wildlife, adventure & sports",family
Arugam Bay,Kumana National Park,low,"adventure & sports, nature & wildlife",family
Arugam Bay,Kumana National Park,low,"adventure & sports, nature & wildlife",partner
Arugam Bay,Kumana National Park,high,"adventure & sports, nature & wildlife",friends
Arugam Bay,Kumana National Park,high,"photography & arts, nature & wildlife",solo
Arugam Bay,Kumana National Park,low,"nature & wildlife, adventure & sports",solo
Arugam Bay,Kumana National Park,low,"nature & wildlife, adventure & sports",friends
Arugam Bay,Kumana National Park,medium,"photography & arts, adventure & sports",partner
Arugam Bay,Kumana National Park,low,"adventure & sports, nature & wildlife",partner
Arugam Bay,Whisky Point,high,"beach & water activities, entertainment & nightlife",family
Arugam Bay,Whisky Point,medium,"photography & arts, entertainment & nightlife",solo
Arugam Bay,Whisky Point,low,"beach & water activities, entertainment & nightlife",partner
Arugam Bay,Whisky Point,low,"entertainment & nightlife, photography & arts",partner
Arugam Bay,Whisky Point,high,"beach & water activities, entertainment & nightlife",friends
Arugam Bay,Whisky Point,high,"photography & arts, beach & water activities",friends
Arugam Bay,Whisky Point,high,"entertainment & nightlife, photography & arts",friends
Arugam Bay,Whisky Point,low,"beach & water activities, entertainment & nightlife",family
Arugam Bay,Whisky Point,medium,"beach & water activities, photography & arts",partner
Arugam Bay,Whisky Point,high,"photography & arts, entertainment & nightlife",family
Arugam Bay,Whisky Point,medium,"beach & water activities, photography & arts",partner
Arugam Bay,Whisky Point,low,"beach & water activities, entertainment & nightlife",solo
Arugam Bay,Whisky Point,low,"beach & water activities, photography & arts",solo
Arugam Bay,Whisky Point,low,"beach & water activities, entertainment & nightlife",family
Arugam Bay,Whisky Point,low,"beach & water activities, entertainment & nightlife",partner
Arugam Bay,Pottuvil Lagoon,high,"wellness & relaxation, nature & wildlife",family
Arugam Bay,Pottuvil Lagoon,low,"photography & arts, nature & wildlife",friends
Arugam Bay,Pottuvil Lagoon,high,"nature & wildlife, wellness & relaxation",partner
Arugam Bay,Pottuvil Lagoon,medium,"wellness & relaxation, photography & arts",family
Arugam Bay,Pottuvil Lagoon,low,"photography & arts, wellness & relaxation",friends
Arugam Bay,Pottuvil Lagoon,low,"nature & wildlife, wellness & relaxation",solo
Arugam Bay,Pottuvil Lagoon,high,"photography & arts, wellness & relaxation",family
Arugam Bay,Pottuvil Lagoon,low,"nature & wildlife, photography & arts",family
Arugam Bay,Pottuvil Lagoon,high,"photography & arts, nature & wildlife",partner
Arugam Bay,Pottuvil Lagoon,high,"nature & wildlife, photography & arts",friends
Arugam Bay,Pottuvil Lagoon,high,"wellness & relaxation, photography & arts",family
Arugam Bay,Pottuvil Lagoon,medium,"nature & wildlife, photography & arts",family
Arugam Bay,Pottuvil Lagoon,low,"photography & arts, nature & wildlife",family
Arugam Bay,Pottuvil Lagoon,high,"photography & arts, wellness & relaxation",family
Arugam Bay,Pottuvil Lagoon,low,"nature & wildlife, wellness & relaxation",friends
Bentota,Bentota Beach,low,"photography & arts, wellness & relaxation, beach & water activities",family
Bentota,Bentota Beach,low,"beach & water activities, wellness & relaxation, photography & arts",partner
Bentota,Bentota Beach,low,"photography & arts, beach & water activities",partner
Bentota,Bentota Beach,high,"photography & arts, beach & water activities, wellness & relaxation",partner
Bentota,Bentota Beach,high,"beach & water activities, wellness & relaxation",friends
Bentota,Bentota Beach,high,"photography & arts, wellness & relaxation, beach & water activities",friends
Bentota,Bentota Beach,high,"photography & arts, beach & water activities, wellness & relaxation",family
Bentota,Bentota Beach,medium,"beach & water activities, photography & arts",partner
Bentota,Bentota Beach,low,"wellness & relaxation, beach & water activities, photography & arts",family
Bentota,Bentota Beach,medium,"photography & arts, wellness & relaxation, beach & water activities",solo
Bentota,Bentota Beach,high,"beach & water activities, photography & arts, wellness & relaxation",solo
Bentota,Bentota Beach,high,"photography & arts, wellness & relaxation",solo
Bentota,Bentota Beach,low,"photography & arts, beach & water activities, wellness & relaxation",family
Bentota,Bentota Beach,high,"photography & arts, beach & water activities, wellness & relaxation",solo
Bentota,Bentota Beach,low,"beach & water activities, photography & arts",family
Bentota,Kosgoda Turtle Hatchery,high,"nature & wildlife, education & learning",friends
Bentota,Kosgoda Turtle Hatchery,low,"photography & arts, nature & wildlife",family
Bentota,Kosgoda Turtle Hatchery,high,"photography & arts, education & learning, nature & wildlife",friends
Bentota,Kosgoda Turtle Hatchery,high,"education & learning, photography & arts, nature & wildlife",solo
Bentota,Kosgoda Turtle Hatchery,medium,"photography & arts, nature & wildlife, education & learning",friends
Bentota,Kosgoda Turtle Hatchery,medium,"nature & wildlife, photography & arts, education & learning",family
Bentota,Kosgoda Turtle Hatchery,low,"nature & wildlife, photography & arts, education & learning",partner
Bentota,Kosgoda Turtle Hatchery,medium,"education & learning, photography & arts, nature & wildlife",partner
Bentota,Kosgoda Turtle Hatchery,low,"photography & arts, education & learning, nature & wildlife",partner
Bentota,Kosgoda Turtle Hatchery,low,"education & learning, photography & arts, nature & wildlife",family
Bentota,Kosgoda Turtle Hatchery,medium,"nature & wildlife, photography & arts",family
Bentota,Kosgoda Turtle Hatchery,high,"education & learning, photography & arts",partner
Bentota,Kosgoda Turtle Hatchery,low,"photography & arts, education & learning",partner
Bentota,Kosgoda Turtle Hatchery,low,"nature & wildlife, photography & arts, education & learning",friends
Bentota,Kosgoda Turtle Hatchery,medium,"nature & wildlife, photography & arts, education & learning",partner
Bentota,"Exhilarating Madu River cruise to witness mangroves, many small islands, cinnamon plantation and the fish therapy",low,"nature & wildlife, adventure & sports",family
Bentota,"Exhilarating Madu River cruise to witness mangroves, many small islands, cinnamon plantation and the fish therapy",high,"photography & arts, adventure & sports, nature & wildlife",partner
Bentota,"Exhilarating Madu River cruise to witness mangroves, many small islands, cinnamon plantation and the fish therapy",medium,"photography & arts, nature & wildlife, adventure & sports",family
Bentota,"Exhilarating Madu River cruise to witness mangroves, many small islands, cinnamon plantation and the fish therapy",medium,"photography & arts, nature & wildlife",family
Bentota,"Exhilarating Madu River cruise to witness mangroves, many small islands, cinnamon plantation and the fish therapy",medium,"nature & wildlife, photography & arts",partner
Bentota,"Exhilarating Madu River cruise to witness mangroves, many small islands, cinnamon plantation and the fish therapy",medium,"adventure & sports, nature & wildlife",family
Bentota,"Exhilarating Madu River cruise to witness mangroves, many small islands, cinnamon plantation and the fish therapy",high,"nature & wildlife, photography & arts",partner
