Keywords from survey,Situations,Phrases
,,Can anyone hear me? I’m stuck on a hiking trail and lost my way
,,"Help! There’s a dangerous animal near me, and I’m scared to move"
,,I’m feeling sick and unresponsive. I think I need medication urgently
,,There’s been a robbery! I’m injured and need help
,,Please help me! I’ve been stranded after missing my train in a foreign city
,,Someone is following me. I’m scared and need help fast
,,Help! I’ve fallen off my bike and can’t move my arm
,,im lost need help cant find my hotel
,,lost my way cant get back to the hostel
,,need directions im completely lost
,,cant find my way need help urgently
,,im stranded dont know anyone around here
,,i fell and hurt my leg cant move pls help
,,severe pain in my chest need doctor fast
,,bitten by an animal dont know if its dangerous
,,i cant breathe someone help me now
,,bleeding badly had an accident need urgent help
,,my bag was stolen need police now
,,someone stole my passport and wallet need help
,,im being followed feel unsafe pls send help
,,i was harassed on the street need immediate assistance
,,someone tried to attack me need urgent help
,,earthquake happening need to find shelter
,,floodwaters rising fast need safety now
,,trapped in a building with smoke help me escape
,,there is a fire dont know where to go
,,stuck outside in a storm need help asap
,,cant find my child in the crowd pls help
,,my friend is missing dont know where they are
,,lost my group in the city need help finding them
,,my kid is gone missing near the park pls hurry
,,lost contact with my travel partner need help
,,car broke down on the highway no help nearby
,,my rental bike stopped working stranded on the road
,,missed my bus stuck with no way back
,,train got canceled need assistance to find transport
,,bike stopped in an isolated area pls send help
,,dont speak the language cant ask for help
,,need emergency assistance cant communicate here
,,cant talk properly need someone to help me now
,,unable to explain my issue need urgent help
,,dont understand signs around me completely lost
,,ayuda me perdi necesito ayuda urgente (Spanish)
,,je suis perdu besoin daide immediatement (French)
,,ich habe mich verirrt bitte hilfe (German)
,,wo shiqule wo de qianbao qing bangzhu (Mandarin)
,,udau onne kela wuna mata udauyangenawa (Sinhala)
,,hlp me cant find my way bck
,,pls hlp stranded no id no money
,,need hlp asap bitten by animal
,,cant brth need dr fast pls
,,som1 is stalking me hlp now
,,help sos need assistance now
,,pls hurry its an emergency
,,sos urgent need help asap
,,someone pls hear me and help
,,emergency pls send support now
,,I need help finding my way back I’ve completely lost my location
,,There’s a group of strangers acting suspiciously around me I feel unsafe
,,I’m in a crowded market and someone just stole my bag
,,A fire broke out near me and I don’t know where to go
,,I lost my phone and wallet and don’t know how to contact anyone
,,My bike chain broke and I’m stuck in the middle of nowhere
,,A wild animal appeared on the trail and I’m too scared to move
,,Someone is aggressively shouting at me I need help fast
,,I’m stranded at the train station and it’s getting late
,,A man just approached me with threats I need help
,,There’s a landslide blocking the road I’m stuck here
,,I think I’m having an allergic reaction My face is swelling and I need help
,,I’ve been pickpocketed and now I don’t have any cash left
,,I can’t find my tour group and I’m lost in this huge museum
,,There’s a strong smell of gas in this building I think it’s dangerous
,,I slipped on the stairs and can’t put weight on my leg
,,I was crossing the street and my backpack got stuck in a tuk-tuk I need help
,,Someone tried to snatch my phone but ran away I’m really shaken up
,,I’m experiencing severe chest pain and can’t breathe properly
,,A stranger won’t stop following me. I’m scared for my safety
,,There’s been an accident nearby and I’m trapped in the middle of it
,,My travel partner wandered off and I can’t find them anywhere
,,The road is completely blocked by water and I can’t find a safe way around
,,I think I broke my arm I need immediate medical assistance
,,The driver isn’t stopping the car even though I asked them to pull over
,,I feel faint and might pass out I need someone to come quickly
,,The campsite is flooded and I can’t get back to the main road
,,I’m stuck in this elevator and I can’t get a signal to call for help
,,A strange man just tried to grab me I ran away but I’m still scared
,,I was hiking alone and I’ve twisted my ankle I can’t walk anymore
,,I feel like I’m being followed by someone Can someone come here
,,My child wandered off into the woods and I can’t find them
,,I’ve been in a car accident and I can’t open the door to get out
,,A street vendor started threatening me after I refused to buy something
,,The ferry I was on started sinking and I swam to shore but I’m alone
,,The electricity went out in this abandoned building and I can’t see anything
,,A storm destroyed my tent I don’t know where to go now
,,I dropped my phone in the river and I have no way to call for help
,,The hotel I booked is closed and I don’t know where else to go
,,A stranger is refusing to leave me alone at this bus station
,,My wallet was stolen and I have no money for transportation
,,I tripped and hit my head I feel dizzy and can’t stand properly
,,A snake bit me while I was walking on this trail I need medical help fast
,,I lost my glasses and can’t see well enough to get back safely
,,There’s a fight breaking out near me and I feel unsafe
,,The bridge I was walking on collapsed and I don’t know where to go
,,The boat engine stopped working and I’m stranded in the middle of the lake
,,A stranger just snatched my camera and disappeared into the crowd
,,I’m locked out of my Airbnb and don’t have any way to contact the owner
,,I think someone slipped something into my drink. I’m feeling disoriented
,,i dont know where i am need help finding my location
,,im stuck in an unknown area cant find my way back
,,lost in the city and my phone is dying pls help
,,i wandered off and now i cant find my group
,,im stuck on a hiking trail dont know which way to go
,,im dizzy and feel like fainting need help asap
,,cant stop bleeding had an accident need urgent care
,,sharp pain in my chest dont know whats happening help
,,injured badly cant move my leg need assistance now
,,someone fainted near me need medical help fast
,,my phone and money were stolen i have no way to contact anyone
,,someone is following me im scared pls send police
,,my belongings were taken need help reporting the theft
,,being harassed in a public place pls send assistance
,,i was mugged and now im stranded without my wallet
,,im in the middle of a flood need urgent evacuation
,,trapped under debris after earthquake need help finding a way out
,,wildfires approaching the area dont know where to go
,,stuck in a storm and cant see anything need immediate shelter
,,there was a landslide and now the road is blocked pls help
,,my travel buddy disappeared cant reach them on their phone
,,my child is missing cant find them near the shopping area
,,looking for my lost friend in the park need assistance
,,cant find my partner in this crowded street pls help
,,my sibling is missing from the group and they have no phone
,,my taxi left me stranded dont know where to go
,,car ran out of fuel in the middle of nowhere pls help
,,tuk tuk broke down in an unknown area need assistance
,,motorbike broke in heavy rain no help around pls send someone
,,stranded after missing the last train need urgent transport
,,cant understand directions people are giving me pls help
,,dont know the local language cant ask anyone for assistance
,,im in a foreign country and cant explain my situation need help
,,lost and unable to communicate with anyone around me
,,trying to call for help but language barrier is making it difficult
,,hlp me lost in the woods cant find my way out
,,fell nd hurt my ankle need hlp cant move
,,stolen passport stranded need hlp asap
,,pls hurry im being stalked nd cant escape
,,sm1 is chasing me feel unsafe need hlp
,,need emergency assistance right now pls hurry
,,pls come fast its a life threatening situation
,,emergency cant handle the situation alone need help
,,urgent help needed i cant manage this on my own
,,im scared and dont know what to do someone pls assist
,,the taxi driver is taking a different route and i dont feel safe
,,im stuck in a subway station and theres no staff around to help me
,,someone is aggressively knocking on my hotel door im scared
,,the ferry left without me and now im stranded on the island
,,i can see a huge fire in the distance but i dont know if its safe to stay here
,,theres been a landslide and im trapped on this hiking trail
,,i feel disoriented after a bad fall i dont know where i am
,,ive lost my medication and i need a pharmacy urgently
,,a stranger is blocking my way and wont let me pass i feel unsafe
,,i missed the last train and im stuck at the station overnight
,,ive been stung by a bee and i think im having an allergic reaction
,,theres heavy snow and my car is stuck i cant drive any further
,,a stranger tried to grab my arm in the park i need someone to help me
,,ive been locked inside a shop and theres no way to get out
,,the lift stopped midway and im trapped inside with no signal
,,a gang of people is blocking the road ahead im scared to go any further
,,my child fell into a ditch and i cant get them out
,,the boat im on is taking on water i need rescue immediately
,,i was pushed down in a crowd and ive lost my phone
,,i think im being scammed at this money exchange counter
,,the power went out in this building and im stuck on the top floor
,,a protest has broken out near me and its getting violent
,,ive been bitten by a spider and im not sure if its dangerous
,,the train doors closed on me and my luggage is inside
,,the water level is rising rapidly in the river i need to get out of here
,,my flight got canceled and i have nowhere to stay tonight
,,ive been stuck in this parking lot for hours because my car wont start
,,theres a tornado warning and i dont know where the nearest shelter is
,,the mountain path ahead is blocked and i cant find an alternate route
,,a stranger keeps asking me personal questions i feel uncomfortable
,,a dog is chasing me on the street and im terrified
,,my friend wandered off during the festival and i cant find them
,,i think my drink was spiked im feeling drowsy and cant focus
,,theres a flood warning and i dont know if its safe to stay here
,,the rental car broke down and i dont know who to contact
,,im stranded on this highway without food or water
,,someone banged on my car window and ran away im scared to drive further
,,the tour guide left without me and now im lost in this cave
,,im hearing loud gunshots nearby and i dont know where to hide
,,theres a wildfire nearby and i can see the smoke getting closer
,,im stuck on this cliffside and i cant climb up or down safely
,,the tuk tuk driver took my bag and drove off i dont know what to do
,,a group of monkeys is surrounding me and trying to snatch my bag
,,i was hiking and my phone battery just died i dont know the way back
,,i was robbed at gunpoint and need urgent police assistance
,,the rain is so heavy that i cant see the road ahead
,,i slipped on the icy sidewalk and my knee is swelling up fast
,,the taxi driver is refusing to stop the car im really scared
,,im stuck in this parking garage because i cant find the exit
,,a stranger just tried to take my childs hand i need immediate help
,,"The taxi driver is taking a different route, and I don’t feel safe"
,,"I’m stuck in a subway station, and there’s no staff around to help me"
,,Someone is aggressively knocking on my hotel door. I’m scared
,,"The ferry left without me, and now I’m stranded on the island"
,,"I can see a huge fire in the distance, but I don’t know if it’s safe to stay here"
,,"There’s been a landslide, and I’m trapped on this hiking trail"
,,I feel disoriented after a bad fall. I don’t know where I am
,,"I’ve lost my medication, and I need a pharmacy urgently"
,,A stranger is blocking my way and won’t let me pass. I feel unsafe
,,"I missed the last train, and I’m stuck at the station overnight"
,,"I’ve been stung by a bee, and I think I’m having an allergic reaction"
,,"There’s heavy snow, and my car is stuck. I can’t drive any further"
,,A stranger tried to grab my arm in the park. I need someone to help me
,,"I’ve been locked inside a shop, and there’s no way to get out"
,,"The lift stopped midway, and I’m trapped inside with no signal"
,,A gang of people is blocking the road ahead. I’m scared to go any further
,,"My child fell into a ditch, and I can’t get them out"
,,The boat I’m on is taking on water. I need rescue immediately
,,"I was pushed down in a crowd, and I’ve lost my phone"
,,I think I’m being scammed at this money exchange counter
,,"The power went out in this building, and I’m stuck on the top floor"
,,"A protest has broken out near me, and it’s getting violent"
,,"I’ve been bitten by a spider, and I’m not sure if it’s dangerous"
,,"The train doors closed on me, and my luggage is inside"
,,The water level is rising rapidly in the river. I need to get out of here
,,"My flight got canceled, and I have nowhere to stay tonight"
,,I’ve been stuck in this parking lot for hours because my car won’t start
,,"There’s a tornado warning, and I don’t know where the nearest shelter is"
,,"The mountain path ahead is blocked, and I can’t find an alternate route"
,,A stranger keeps asking me personal questions. I feel uncomfortable
,,"A dog is chasing me on the street, and I’m terrified"
,,"My friend wandered off during the festival, and I can’t find them"
,,I think my drink was spiked. I’m feeling drowsy and can’t focus
,,"There’s a flood warning, and I don’t know if it’s safe to stay here"
,,"The rental car broke down, and I don’t know who to contact"
,,I’m stranded on this highway without food or water
,,Someone banged on my car window and ran away. I’m scared to drive further
,,"The tour guide left without me, and now I’m lost in this cave"
,,"I’m hearing loud gunshots nearby, and I don’t know where to hide"
,,"There’s a wildfire nearby, and I can see the smoke getting closer"
,,"I’m stuck on this cliffside, and I can’t climb up or down safely"
,,The tuk-tuk driver took my bag and drove off. I don’t know what to do
,,A group of monkeys is surrounding me and trying to snatch my bag
,,"I was hiking, and my phone battery just died. I don’t know the way back"
,,I was robbed at gunpoint and need urgent police assistance
,,The rain is so heavy that I can’t see the road ahead
,,"I slipped on the icy sidewalk, and my knee is swelling up fast"
,,The taxi driver is refusing to stop the car. I’m really scared
,,I’m stuck in this parking garage because I can’t find the exit
,,A stranger just tried to take my child’s hand. I need immediate help
,,A stranger is chasing me through the streets. Help!
,,"My phone is dying, and I’m lost in the city. Need help fast"
,,Can’t find my child in this crowded festival. Please assist!
,,"There’s been an accident, and someone’s bleeding heavily"
,,My wallet and passport were stolen at the train station
,,"Can’t breathe properly, and I’m feeling faint. Need assistance!"
,,A fight broke out near me; I’m too scared to move
,,"Someone is threatening me with a knife. Police, now!"
,,"Stranded on a bridge, and the current is getting stronger"
,,"My bike tire burst, and I’m stuck in the middle of nowhere"
,,Heard gunshots in my area. Where do I go?
,,In an elevator that stopped suddenly. Claustrophobic! Help me!
,,Fell down the stairs; I can’t stand on my leg
,,Someone’s following me since I left the store. Feel unsafe
,,"Landslide ahead, blocking the way. We’re all trapped here"
,,Faint smell of gas in the hostel. Should we evacuate?
,,Falling rocks damaged our car during the drive. Stuck here!
,,Aggressive dog cornering me in an alley. Can’t move!
,,Flash flood is sweeping cars off the road. Need help urgently!
,,Lost in this forest trail; no signs or people around
,,"Friend fainted, but I don’t know CPR. What do I do?"
,,"Boat engine failed, and we’re drifting further into the sea"
,,Dark alley feels unsafe. A group is blocking the way ahead
,,Stranded at this gas station overnight; no staff here
,,Caught in this thunderstorm while kayaking. Water rising fast!
,,Taxi driver locked the doors and is not stopping. Help!!
,,My toddler wandered off at the mall. Where do I go?
,,Collapsed bridge ahead! Our group is stuck on the other side.
,,Stuck in a building that’s shaking—earthquake maybe? Can’t leave!
,,Lost in an underground parking lot. It’s empty and scary here
,,A riot started suddenly; shops are being vandalized
,,Stepped on something sharp; bleeding heavily now. Need help!
,,Don’t recognize this area. I think I took the wrong train
,,"My hotel is locked up, and I’m stranded outside late at night"
,,Child fell into the lake and can’t swim. Need help urgently!
,,A thief on a bike snatched my bag and sped away. What now?
,,Someone unconscious on the road after a hit-and-run. What do I do?
,,Saw a vehicle crash into a pole. People seem trapped inside
,,Loud shouting and breaking glass in the hallway. Scared to open my door!
,,"Fire alarm blaring in this building, but I don’t see any fire exits"
,,"Car broke down in the desert, and it’s getting dark"
,,"Caught in a blizzard, and my group is losing visibility"
,,Witnessed a robbery at the ATM. Not sure what to do now
,,"Tour guide lost the way, and we’re stuck in this forest"
,,Hotel staff refuses to help me get out of this situation
,,Fell off my bike on this steep trail; it’s hard to get back up
,,Electrical fire started in the kitchen; can’t stop the flames
,,The lift started moving down while the doors were open
,,"The riverbank is eroding, and I’m stuck on the other side"
,,A group of men surrounded our car. Please send help fast
,,Lost the trail markers during this hike; completely disoriented
,,Witnessed a drowning at the beach; no lifeguards are nearby.
,,Bridge collapsed ahead of us; entire area is cut off now
,,Driver is behaving weirdly and ignoring my stop request
,,"My raft got stuck on the rocks, and the current is strong"
,,"Snowstorm started, and I can’t find the way back to the lodge"
,,Saw smoke rising in the building across. Is it safe here?
,,Stranded at the airport due to canceled flights. No support staff
,,Wild boar on the trail ahead; no idea how to get past it
,,"Hotel fire exit blocked, and there’s smoke in the hallway"
,,"Someone is chasing me, pls hlp!"
,,"Sm1’s following me, need hlp fast!"
,,"Ayuda! Someone behind me, hurry!"
,,Pls help! I’m being chased rn!
,,¡Socorro! Somebody’s chasing me!
,,I’m trapped in the building; fire everywhere!
,,Stuck inside! There’s fire! Send hlp now!
,,"Incendio! Can’t get out, trapped!"
,,I can’t escape flames everywhere!
,,Lost my kid in the market help me find them!
,,My child’s missing! Pls help!
,,"Niño perdido en el mercado, ayuda!"
,,Kid’s gone! Can’t see them anywhere!
,,There’s a man with a knife! Danger!
,,Armed man nearby! Save us!
,,Knife attack we’re in danger!
,,¡Cuidado! Hombre con cuchillo!
,,"Sm1 w/ knife, pls hurry!!"
,,Flood waters rising fast we’re stuck!
,,Flooded road can’t move! Hlp!
,,"El agua está subiendo, ¡ayuda!"
,,Stranded in water urgent hlp!
,,I fell I think I broke my leg!
,,Broken leg can’t move send hlp!
,,"Caí, mi pierna duele mucho!"
,,"I’m hurt, leg broken, pls assist!"
,,My wallet’s stolen I’m stranded!
,,"Sm1 took my wallet, I’m stuck!"
,,No tengo mi cartera estoy perdido!
,,"Lost my money, need urgent hlp!"
,,"We’re lost in the jungle, can’t find the trail."
,,"Lost hiking, need direction!"
,,"Perdidos en el bosque, ayuda!"
,,"Disoriented, no trail visible, pls hlp!"
,,Driver refusing to stop I’m scared!
,,"Taxi driver won’t stop, unsafe!"
,,"Chofer no para, ¡me da miedo!"
,,"Cab driver acting weird, pls assist!"
,,"Can’t swim, stuck in the river!"
,,"Stranded in water, drowning!"
,,"¡Socorro! Estoy en el agua, no sé nadar!"
,,Pls hurry! I’m sinking!
,,There’s smoke in the building no way out!
,,Smoke filling rooms can’t escape!
,,"Fuego y humo, no hay salida!"
,,Pls help! Trapped w/ smoke everywhere!
,,Saw a car crash people trapped inside!
,,Accident! Ppl need help ASAP!
,,"Choque de autos, hay heridos!"
,,"Big crash, urgent medical hlp needed!"
,,Someone fainted we need a medic!
,,"Person unconscious, CPR needed!"
,,"¡Alguien se desmayó, rápido!"
,,"Sm1 passed out, not waking up!"
,,I’m locked in this room can’t open the door!
,,"Door’s jammed, stuck inside!"
,,"Cerradura rota, no puedo salir!"
,,"Trapped inside, need hlp urgently!"
,,Snowstorm is blocking the road we’re stuck!
,,Stuck in blizzard need hlp!
,,Tormenta de nieve estamos atrapados!
,,"Snowed in, can’t drive, send hlp!"
,,Gunshots nearby hiding now!
,,Shots fired too scared to move!
,,"Tiros cerca, estoy escondido!"
,,"Sm1 shooting, we need police now!"
,,Child stuck in the water help now!
,,"My kid’s drowning, hurry up!"
,,"¡Niño en el agua, urgente ayuda!"
,,Can’t reach my kid pls send hlp!
,,Aggressive animal blocking the way!
,,Wild dog can’t move forward!
,,Animal salvaje bloqueando el camino!
,,Dog attack! Need assistance!
,,Earthquake! Building shaking hard!
,,Terremoto! El edificio se está moviendo!
,,"Everything’s shaking, too scared to leave!"
,,"Big earthquake, stuck indoors!"
,,Group threatening us we’re scared!
,,"Sm1 threatening my group, urgent hlp!"
,,"Nos amenazan, estamos asustados!"
,,"Gang nearby, need police now!"
,,"Faint smell of gas, feels unsafe here."
,,"Gas leak suspected, help us!"
,,"Huele a gas, puede ser peligroso!"
,,Smelling gas not sure what to do!
,,"Boat sinking, water coming in fast!"
,,"Sinking boat, drowning!"
,,"¡Barco hundiéndose, rápido ayuda!"
,,Emergency! Our boat’s going down!
,,Car stuck on a flooded bridge!
,,Water rising car stranded!
,,"Puente inundado, estamos atrapados!"
,,Stuck on bridge pls send hlp fast!
,,My phone’s almost dead I’m lost!
,,"Battery dying, I’m stuck! Pls help!"
,,"Teléfono sin batería, perdido!"
,,"Lost, no phone batt, need hlp fast!"
,,Tourist scammed me I’m stranded now!
,,"Scammed by locals, need police hlp!"
,,Me estafaron estoy sin dinero!
,,Urgent help! Tourist guide scammed me!
,,I lost my wallet and my ID is missing
,,My phone was stolen and I need help contacting someone
,,I am stranded on a deserted road with no help in sight
,,I need urgent medical assistance I think I broke my leg
,,My friend fainted and is not responding we need a doctor
,,There is a fire in the building and I cannot find a way out
,,I feel unsafe someone has been following me for a while
,,I got separated from my group and I am completely lost
,,My bag with all my belongings was snatched I need help
,,I am in severe pain and cannot walk please send help
,,My child is missing and I cannot find them anywhere
,,I am trapped in an elevator and cannot get out
,,There is flooding here and I am stuck on the roof
,,I was attacked by someone and I need the police urgently
,,There is a wild animal nearby and I feel like it might attack
,,I slipped and injured my back and cannot move
,,The weather is terrible and I am stranded without shelter
,,My rental car broke down and I am stuck on the highway
,,I need a doctor someone around me is not breathing
,,I saw someone collapse on the road and they need immediate help
,,I have been robbed and need to report it to the authorities
,,I am stuck in a storm and I am unable to find safety
,,My passport and documents are missing I need help urgently
,,I think I was bitten by a poisonous animal and need medical help
,,I have been stranded at the train station with no place to go
,,I feel dizzy and lightheaded and I think I might faint
,,My bike broke down and I am stuck in an isolated area
,,I need help someone is threatening me and I feel unsafe
,,I cannot find the nearest hospital and need help urgently
,,I am lost in the forest and it is getting dark please send help
,,"The taxi driver is taking a different route, and I don’t feel safe"
,,"I’m stuck in a subway station, and there’s no staff around to help me"
,,Someone is aggressively knocking on my hotel door. I’m scared
,,"The ferry left without me, and now I’m stranded on the island"
,,"I can see a huge fire in the distance, but I don’t know if it’s safe to stay here"
,,"There’s been a landslide, and I’m trapped on this hiking trail"
,,I feel disoriented after a bad fall. I don’t know where I am
,,"I’ve lost my medication, and I need a pharmacy urgently"
,,A stranger is blocking my way and won’t let me pass. I feel unsafe
,,"I missed the last train, and I’m stuck at the station overnight"
,,"I’ve been stung by a bee, and I think I’m having an allergic reaction"
,,"There’s heavy snow, and my car is stuck. I can’t drive any further"
,,A stranger tried to grab my arm in the park. I need someone to help me
,,"I’ve been locked inside a shop, and there’s no way to get out"
,,The lift stopped midway
