Phrases,spaCy_NER,KeyBERT
stuck outside in a storm need help asap,[],"['storm', 'outside', 'stuck', 'help', 'need']"
cant find my child in the crowd pls help,[],"['child', 'crowd', 'pls', 'help']"
my friend is missing dont know where they are,[],"['missing', 'friend', 'dont', 'know']"
lost my group in the city need help finding them,[],"['group', 'city', 'finding', 'lost', 'need']"
my kid is gone missing near the park pls hurry,['the park pls hurry'],"['park', 'missing', 'gone', 'near', 'kid']"
lost contact with my travel partner need help,[],"['contact', 'travel', 'partner', 'lost', 'need']"
car broke down on the highway no help nearby,[],"['highway', 'broke', 'car', 'nearby', 'help']"
my rental bike stopped working stranded on the road,[],"['stranded', 'bike', 'rental', 'road', 'stopped']"
missed my bus stuck with no way back,[],"['bus', 'missed', 'stuck', 'way']"
train got canceled need assistance to find transport,[],"['train', 'transport', 'canceled', 'assistance', 'need']"
bike stopped in an isolated area pls send help,['bike'],"['bike', 'isolated', 'stopped', 'area', 'help']"
dont speak the language cant ask for help,[],"['language', 'speak', 'help', 'ask', 'dont']"
need emergency assistance cant communicate here,[],"['emergency', 'assistance', 'communicate', 'need']"
cant talk properly need someone to help me now,[],"['talk', 'help', 'need', 'properly']"
unable to explain my issue need urgent help,[],"['unable', 'urgent', 'issue', 'help', 'explain']"
dont understand signs around me completely lost,[],"['signs', 'lost', 'understand', 'dont', 'completely']"
ayuda me perdi necesito ayuda urgente spanish,"['perdi necesito', 'spanish']","['ayuda', 'spanish', 'urgente', 'necesito', 'perdi']"
je suis perdu besoin daide immediatement french,['french'],"['french', 'je', 'immediatement', 'daide', 'perdu']"
ich habe mich verirrt bitte hilfe german,['german'],"['german', 'ich', 'bitte', 'hilfe', 'habe']"
wo shiqule wo de qianbao qing bangzhu mandarin,['mandarin'],"['mandarin', 'bangzhu', 'qing', 'qianbao', 'shiqule']"
udau onne kela wuna mata udauyangenawa sinhala,"['udau', 'onne kela', 'mata udauyangenawa sinhala']","['udauyangenawa', 'udau', 'sinhala', 'wuna', 'kela']"
hlp me cant find my way bck,[],"['bck', 'hlp', 'way']"
pls hlp stranded no id no money,['pls hlp'],"['stranded', 'hlp', 'pls', 'id', 'money']"
need hlp asap bitten by animal,[],"['hlp', 'bitten', 'animal', 'need', 'asap']"
cant brth need dr fast pls,[],"['dr', 'fast', 'brth', 'pls', 'need']"
som1 is stalking me hlp now,['som1'],"['som1', 'stalking', 'hlp']"
help sos need assistance now,['sos'],"['assistance', 'help', 'sos', 'need']"
pls hurry its an emergency,[],"['hurry', 'emergency', 'pls']"
sos urgent need help asap,['sos'],"['urgent', 'need', 'asap', 'sos', 'help']"
someone pls hear me and help,[],"['hear', 'pls', 'help']"
emergency pls send support now,[],"['emergency', 'pls', 'support', 'send']"
i need help finding my way back ive completely lost my location,[],"['location', 'finding', 'lost', 'help', 'need']"
theres a group of strangers acting suspiciously around me i feel unsafe,[],"['strangers', 'unsafe', 'suspiciously', 'group', 'feel']"
im in a crowded market and someone just stole my bag,[],"['stole', 'bag', 'crowded', 'market', 'im']"
a fire broke out near me and i dont know where to go,[],"['broke', 'near', 'dont', 'know']"
i lost my phone and wallet and dont know how to contact anyone,[],"['contact', 'phone', 'wallet', 'lost', 'dont']"
my bike chain broke and im stuck in the middle of nowhere,[],"['chain', 'bike', 'broke', 'stuck', 'middle']"
a wild animal appeared on the trail and im too scared to move,[],"['animal', 'trail', 'scared', 'wild', 'appeared']"
someone is aggressively shouting at me i need help fast,[],"['shouting', 'aggressively', 'fast', 'help', 'need']"
im stranded at the train station and its getting late,[],"['stranded', 'train', 'station', 'late', 'im']"
a man just approached me with threats i need help,[],"['threats', 'approached', 'help', 'man', 'need']"
theres a landslide blocking the road im stuck here,[],"['landslide', 'road', 'stuck', 'blocking', 'im']"
i think im having an allergic reaction my face is swelling and i need help,[],"['swelling', 'allergic', 'face', 'reaction', 'help']"
ive been pickpocketed and now i dont have any cash left,[],"['pickpocketed', 'cash', 'dont', 'left', 'ive']"
i cant find my tour group and im lost in this huge museum,[],"['tour', 'museum', 'group', 'lost', 'im']"
theres a strong smell of gas in this building i think its dangerous,[],"['smell', 'dangerous', 'gas', 'building', 'strong']"
i slipped on the stairs and cant put weight on my leg,[],"['leg', 'stairs', 'slipped', 'weight']"
i was crossing the street and my backpack got stuck in a tuktuk i need help,[],"['backpack', 'tuktuk', 'stuck', 'help', 'crossing']"
someone tried to snatch my phone but ran away im really shaken up,[],"['phone', 'snatch', 'shaken', 'ran', 'tried']"
im experiencing severe chest pain and cant breathe properly,[],"['chest', 'breathe', 'severe', 'pain', 'im']"
a stranger wont stop following me im scared for my safety,[],"['safety', 'scared', 'stranger', 'stop', 'following']"
theres been an accident nearby and im trapped in the middle of it,[],"['accident', 'trapped', 'nearby', 'middle', 'im']"
my travel partner wandered off and i cant find them anywhere,[],"['wandered', 'travel', 'partner']"
the road is completely blocked by water and i cant find a safe way around,[],"['road', 'water', 'blocked', 'safe', 'way']"
i think i broke my arm i need immediate medical assistance,[],"['arm', 'broke', 'assistance', 'medical', 'immediate']"
the driver isnt stopping the car even though i asked them to pull over,[],"['stopping', 'driver', 'car', 'pull', 'asked']"
i feel faint and might pass out i need someone to come quickly,[],"['faint', 'quickly', 'pass', 'need', 'feel']"
the campsite is flooded and i cant get back to the main road,[],"['campsite', 'flooded', 'road', 'main']"
im stuck in this elevator and i cant get a signal to call for help,[],"['elevator', 'signal', 'help', 'stuck', 'im']"
a strange man just tried to grab me i ran away but im still scared,[],"['scared', 'grab', 'ran', 'man', 'strange']"
i was hiking alone and ive twisted my ankle i cant walk anymore,[],"['ankle', 'hiking', 'walk', 'twisted', 'anymore']"
i feel like im being followed by someone can someone come here,[],"['followed', 'come', 'im', 'feel', 'like']"
my child wandered off into the woods and i cant find them,[],"['woods', 'wandered', 'child']"
ive been in a car accident and i cant open the door to get out,[],"['door', 'accident', 'car', 'open', 'ive']"
a street vendor started threatening me after i refused to buy something,[],"['vendor', 'refused', 'threatening', 'street', 'buy']"
the ferry i was on started sinking and i swam to shore but im alone,[],"['swam', 'sinking', 'ferry', 'shore', 'started']"
the electricity went out in this abandoned building and i cant see anything,[],"['abandoned', 'electricity', 'building', 'went']"
a storm destroyed my tent i dont know where to go now,[],"['tent', 'storm', 'destroyed', 'dont', 'know']"
i dropped my phone in the river and i have no way to call for help,[],"['phone', 'river', 'dropped', 'help', 'way']"
the hotel i booked is closed and i dont know where else to go,[],"['hotel', 'closed', 'booked', 'dont', 'know']"
a stranger is refusing to leave me alone at this bus station,[],"['bus', 'stranger', 'refusing', 'leave', 'station']"
my wallet was stolen and i have no money for transportation,[],"['wallet', 'stolen', 'transportation', 'money']"
i tripped and hit my head i feel dizzy and cant stand properly,[],"['dizzy', 'tripped', 'head', 'stand', 'hit']"
a snake bit me while i was walking on this trail i need medical help fast,[],"['snake', 'trail', 'walking', 'medical', 'fast']"
i lost my glasses and cant see well enough to get back safely,[],"['glasses', 'safely', 'lost']"
theres a fight breaking out near me and i feel unsafe,[],"['fight', 'unsafe', 'breaking', 'near', 'theres']"
the bridge i was walking on collapsed and i dont know where to go,[],"['bridge', 'collapsed', 'walking', 'dont', 'know']"
the boat engine stopped working and im stranded in the middle of the lake,[],"['boat', 'lake', 'stranded', 'engine', 'stopped']"
a stranger just snatched my camera and disappeared into the crowd,[],"['stranger', 'camera', 'snatched', 'disappeared', 'crowd']"
im locked out of my airbnb and dont have any way to contact the owner,[],"['airbnb', 'locked', 'owner', 'contact', 'dont']"
i think someone slipped something into my drink im feeling disoriented,[],"['disoriented', 'slipped', 'drink', 'feeling', 'think']"
i dont know where i am need help finding my location,[],"['location', 'finding', 'need', 'help', 'dont']"
im stuck in an unknown area cant find my way back,[],"['area', 'stuck', 'unknown', 'im', 'way']"
lost in the city and my phone is dying pls help,[],"['phone', 'city', 'lost', 'dying', 'help']"
i wandered off and now i cant find my group,[],"['group', 'wandered']"
im stuck on a hiking trail dont know which way to go,[],"['hiking', 'trail', 'stuck', 'dont', 'im']"
im dizzy and feel like fainting need help asap,[],"['fainting', 'dizzy', 'feel', 'need', 'im']"
cant stop bleeding had an accident need urgent care,[],"['bleeding', 'accident', 'urgent', 'care', 'stop']"
sharp pain in my chest dont know whats happening help,[],"['chest', 'pain', 'sharp', 'happening', 'dont']"
injured badly cant move my leg need assistance now,[],"['leg', 'injured', 'assistance', 'need', 'badly']"
someone fainted near me need medical help fast,[],"['fainted', 'medical', 'fast', 'need', 'help']"
my phone and money were stolen i have no way to contact anyone,[],"['stolen', 'phone', 'contact', 'money', 'way']"
someone is following me im scared pls send police,[],"['police', 'scared', 'following', 'im', 'send']"
my belongings were taken need help reporting the theft,[],"['theft', 'belongings', 'reporting', 'need', 'help']"
being harassed in a public place pls send assistance,[],"['harassed', 'assistance', 'public', 'place', 'send']"
i was mugged and now im stranded without my wallet,[],"['mugged', 'wallet', 'stranded', 'im']"
im in the middle of a flood need urgent evacuation,[],"['evacuation', 'flood', 'urgent', 'need', 'im']"
trapped under debris after earthquake need help finding a way out,[],"['earthquake', 'debris', 'trapped', 'finding', 'help']"
wildfires approaching the area dont know where to go,[],"['wildfires', 'area', 'approaching', 'dont', 'know']"
stuck in a storm and cant see anything need immediate shelter,[],"['shelter', 'storm', 'stuck', 'immediate', 'need']"
there was a landslide and now the road is blocked pls help,[],"['landslide', 'road', 'blocked', 'pls', 'help']"
my travel buddy disappeared cant reach them on their phone,[],"['disappeared', 'travel', 'phone', 'reach', 'buddy']"
my child is missing cant find them near the shopping area,[],"['missing', 'shopping', 'near', 'child', 'area']"
looking for my lost friend in the park need assistance,[],"['park', 'looking', 'assistance', 'need', 'lost']"
cant find my partner in this crowded street pls help,[],"['street', 'partner', 'crowded', 'pls', 'help']"
my sibling is missing from the group and they have no phone,[],"['sibling', 'phone', 'missing', 'group']"
my taxi left me stranded dont know where to go,[],"['taxi', 'stranded', 'left', 'dont', 'know']"
car ran out of fuel in the middle of nowhere pls help,[],"['fuel', 'car', 'ran', 'middle', 'help']"
tuk tuk broke down in an unknown area need assistance,['tuk tuk'],"['tuk', 'broke', 'area', 'assistance', 'need']"
motorbike broke in heavy rain no help around pls send someone,[],"['motorbike', 'rain', 'broke', 'send', 'heavy']"
stranded after missing the last train need urgent transport,[],"['stranded', 'transport', 'train', 'urgent', 'missing']"
cant understand directions people are giving me pls help,[],"['directions', 'help', 'pls', 'understand', 'giving']"
dont know the local language cant ask anyone for assistance,[],"['assistance', 'local', 'language', 'ask', 'dont']"
im in a foreign country and cant explain my situation need help,[],"['foreign', 'country', 'situation', 'help', 'explain']"
lost and unable to communicate with anyone around me,[],"['communicate', 'unable', 'lost']"
trying to call for help but language barrier is making it difficult,[],"['language', 'difficult', 'barrier', 'help', 'trying']"
hlp me lost in the woods cant find my way out,[],"['woods', 'lost', 'hlp', 'way']"
fell nd hurt my ankle need hlp cant move,[],"['ankle', 'hurt', 'fell', 'hlp', 'need']"
stolen passport stranded need hlp asap,['stolen passport'],"['passport', 'stolen', 'stranded', 'hlp', 'asap']"
pls hurry im being stalked nd cant escape,[],"['stalked', 'escape', 'nd', 'hurry', 'pls']"
sm1 is chasing me feel unsafe need hlp,[],"['sm1', 'chasing', 'unsafe', 'hlp', 'feel']"
need emergency assistance right now pls hurry,[],"['emergency', 'assistance', 'need', 'pls', 'hurry']"
pls come fast its a life threatening situation,[],"['threatening', 'pls', 'fast', 'situation', 'come']"
emergency cant handle the situation alone need help,[],"['emergency', 'situation', 'help', 'need', 'handle']"
urgent help needed i cant manage this on my own,[],"['manage', 'help', 'urgent', 'needed']"
im scared and dont know what to do someone pls assist,[],"['scared', 'im', 'dont', 'assist', 'pls']"
the taxi driver is taking a different route and i dont feel safe,[],"['taxi', 'route', 'driver', 'safe', 'taking']"
im stuck in a subway station and theres no staff around to help me,[],"['subway', 'station', 'staff', 'stuck', 'help']"
someone is aggressively knocking on my hotel door im scared,[],"['knocking', 'door', 'aggressively', 'hotel', 'scared']"
the ferry left without me and now im stranded on the island,[],"['ferry', 'stranded', 'island', 'left', 'im']"
i can see a huge fire in the distance but i dont know if its safe to stay here,[],"['safe', 'distance', 'stay', 'know', 'huge']"
theres been a landslide and im trapped on this hiking trail,[],"['hiking', 'landslide', 'trail', 'trapped', 'im']"
i feel disoriented after a bad fall i dont know where i am,[],"['disoriented', 'fall', 'feel', 'bad', 'dont']"
ive lost my medication and i need a pharmacy urgently,[],"['pharmacy', 'medication', 'urgently', 'need', 'lost']"
a stranger is blocking my way and wont let me pass i feel unsafe,[],"['stranger', 'blocking', 'unsafe', 'pass', 'way']"
i missed the last train and im stuck at the station overnight,[],"['station', 'train', 'overnight', 'stuck', 'missed']"
ive been stung by a bee and i think im having an allergic reaction,[],"['bee', 'allergic', 'stung', 'reaction', 'im']"
theres heavy snow and my car is stuck i cant drive any further,[],"['snow', 'car', 'drive', 'stuck', 'heavy']"
a stranger tried to grab my arm in the park i need someone to help me,[],"['park', 'stranger', 'grab', 'arm', 'help']"
ive been locked inside a shop and theres no way to get out,[],"['locked', 'shop', 'inside', 'way', 'theres']"
the lift stopped midway and im trapped inside with no signal,[],"['lift', 'midway', 'stopped', 'signal', 'trapped']"
a gang of people is blocking the road ahead im scared to go any further,[],"['gang', 'road', 'scared', 'blocking', 'ahead']"
my child fell into a ditch and i cant get them out,[],"['ditch', 'child', 'fell']"
the boat im on is taking on water i need rescue immediately,[],"['boat', 'rescue', 'need', 'water', 'immediately']"
i was pushed down in a crowd and ive lost my phone,[],"['phone', 'crowd', 'pushed', 'lost', 'ive']"
i think im being scammed at this money exchange counter,[],"['scammed', 'exchange', 'counter', 'im', 'money']"
the power went out in this building and im stuck on the top floor,[],"['floor', 'power', 'building', 'stuck', 'went']"
a protest has broken out near me and its getting violent,[],"['protest', 'violent', 'broken', 'near', 'getting']"
ive been bitten by a spider and im not sure if its dangerous,[],"['spider', 'dangerous', 'bitten', 'sure', 'im']"
the train doors closed on me and my luggage is inside,[],"['luggage', 'doors', 'train', 'inside', 'closed']"
the water level is rising rapidly in the river i need to get out of here,[],"['river', 'water', 'rising', 'rapidly', 'level']"
my flight got canceled and i have nowhere to stay tonight,['tonight'],"['canceled', 'flight', 'tonight', 'stay', 'got']"
ive been stuck in this parking lot for hours because my car wont start,['hours'],"['parking', 'start', 'stuck', 'car', 'wont']"
theres a tornado warning and i dont know where the nearest shelter is,[],"['tornado', 'shelter', 'nearest', 'warning', 'theres']"
the mountain path ahead is blocked and i cant find an alternate route,[],"['route', 'mountain', 'path', 'blocked', 'ahead']"
a stranger keeps asking me personal questions i feel uncomfortable,[],"['stranger', 'uncomfortable', 'personal', 'questions', 'asking']"
a dog is chasing me on the street and im terrified,[],"['terrified', 'chasing', 'dog', 'street', 'im']"
my friend wandered off during the festival and i cant find them,[],"['festival', 'wandered', 'friend']"
i think my drink was spiked im feeling drowsy and cant focus,[],"['drink', 'spiked', 'drowsy', 'focus', 'im']"
theres a flood warning and i dont know if its safe to stay here,[],"['flood', 'warning', 'safe', 'stay', 'know']"
the rental car broke down and i dont know who to contact,[],"['rental', 'broke', 'car', 'contact', 'dont']"
im stranded on this highway without food or water,[],"['stranded', 'highway', 'water', 'food', 'im']"
someone banged on my car window and ran away im scared to drive further,[],"['window', 'scared', 'car', 'away', 'drive']"
the tour guide left without me and now im lost in this cave,[],"['cave', 'tour', 'guide', 'lost', 'left']"
im hearing loud gunshots nearby and i dont know where to hide,[],"['gunshots', 'hearing', 'hide', 'nearby', 'loud']"
theres a wildfire nearby and i can see the smoke getting closer,[],"['wildfire', 'smoke', 'nearby', 'closer', 'theres']"
im stuck on this cliffside and i cant climb up or down safely,[],"['cliffside', 'climb', 'stuck', 'safely', 'im']"
the tuk tuk driver took my bag and drove off i dont know what to do,[],"['bag', 'driver', 'drove', 'tuk', 'took']"
a group of monkeys is surrounding me and trying to snatch my bag,[],"['monkeys', 'bag', 'snatch', 'group', 'surrounding']"
i was hiking and my phone battery just died i dont know the way back,[],"['battery', 'hiking', 'phone', 'died', 'way']"
i was robbed at gunpoint and need urgent police assistance,[],"['robbed', 'gunpoint', 'police', 'assistance', 'urgent']"
the rain is so heavy that i cant see the road ahead,[],"['rain', 'road', 'heavy', 'ahead']"
i slipped on the icy sidewalk and my knee is swelling up fast,[],"['swelling', 'knee', 'icy', 'sidewalk', 'slipped']"
the taxi driver is refusing to stop the car im really scared,[],"['taxi', 'scared', 'refusing', 'driver', 'car']"
im stuck in this parking garage because i cant find the exit,[],"['exit', 'garage', 'parking', 'stuck', 'im']"
a stranger just tried to take my childs hand i need immediate help,[],"['childs', 'stranger', 'hand', 'help', 'need']"
the taxi driver is taking a different route and i dont feel safe,[],"['taxi', 'route', 'driver', 'safe', 'taking']"
im stuck in a subway station and theres no staff around to help me,[],"['subway', 'station', 'staff', 'stuck', 'help']"
someone is aggressively knocking on my hotel door im scared,[],"['knocking', 'door', 'aggressively', 'hotel', 'scared']"
the ferry left without me and now im stranded on the island,[],"['ferry', 'stranded', 'island', 'left', 'im']"
i can see a huge fire in the distance but i dont know if its safe to stay here,[],"['safe', 'distance', 'stay', 'know', 'huge']"
theres been a landslide and im trapped on this hiking trail,[],"['hiking', 'landslide', 'trail', 'trapped', 'im']"
i feel disoriented after a bad fall i dont know where i am,[],"['disoriented', 'fall', 'feel', 'bad', 'dont']"
ive lost my medication and i need a pharmacy urgently,[],"['pharmacy', 'medication', 'urgently', 'need', 'lost']"
